Epoch,Cycle,Cycle_reward,Episode,Reward,Achieved_Goals
0,0,0.0,0,0.0,0
0,0,1.0,1,1.0,1
0,0,1.0,2,0.0,0
0,0,1.0,3,0.0,0
0,0,1.0,4,0.0,0
0,0,1.0,5,0.0,0
0,0,1.0,6,0.0,0
0,0,2.0,7,1.0,1
0,0,2.0,8,0.0,0
0,0,2.0,9,0.0,0
0,0,2.0,10,0.0,0
0,0,2.0,11,0.0,0
0,0,2.0,12,0.0,0
0,0,4.0,13,2.0,2
0,0,4.0,14,0.0,0
0,0,4.0,15,0.0,0
0,0,4.0,16,0.0,0
0,0,4.0,17,0.0,0
0,0,4.0,18,0.0,0
0,0,4.0,19,0.0,0
0,0,4.0,20,0.0,0
0,0,4.0,21,0.0,0
0,0,4.0,22,0.0,0
0,0,4.0,23,0.0,0
0,0,4.0,24,0.0,0
0,0,5.0,25,1.0,1
0,0,5.0,26,0.0,0
0,0,5.0,27,0.0,0
0,0,5.0,28,0.0,0
0,0,5.0,29,0.0,0
0,0,5.0,30,0.0,0
0,0,5.0,31,0.0,0
0,0,6.0,32,1.0,1
0,0,6.0,33,0.0,0
0,0,7.0,34,1.0,1
0,0,7.0,35,0.0,0
0,0,7.0,36,0.0,0
0,0,11.0,37,4.0,4
0,0,11.0,38,0.0,0
0,0,11.0,39,0.0,0
0,0,11.0,40,0.0,0
0,0,11.0,41,0.0,0
0,0,11.0,42,0.0,0
0,0,11.0,43,0.0,0
0,0,11.0,44,0.0,0
0,0,12.0,45,1.0,1
0,0,12.0,46,0.0,0
0,0,12.0,47,0.0,0
0,0,13.0,48,1.0,1
0,0,13.0,49,0.0,0
0,0,13.0,50,0.0,0
0,0,14.0,51,1.0,1
0,0,15.0,52,1.0,1
0,0,15.0,53,0.0,0
0,0,15.0,54,0.0,0
0,0,15.0,55,0.0,0
0,0,15.0,56,0.0,0
0,0,16.0,57,1.0,1
0,0,17.0,58,1.0,1
0,0,18.0,59,1.0,1
0,0,18.0,60,0.0,0
0,0,18.0,61,0.0,0
0,0,18.0,62,0.0,0
0,0,18.0,63,0.0,0
0,0,18.0,64,0.0,0
0,0,20.0,65,2.0,2
0,0,20.0,66,0.0,0
0,0,20.0,67,0.0,0
0,0,20.0,68,0.0,0
0,0,20.0,69,0.0,0
0,0,20.0,70,0.0,0
0,0,20.0,71,0.0,0
0,0,20.0,72,0.0,0
0,0,20.0,73,0.0,0
0,0,20.0,74,0.0,0
0,0,20.0,75,0.0,0
0,0,20.0,76,0.0,0
0,0,20.0,77,0.0,0
0,0,20.0,78,0.0,0
0,0,20.0,79,0.0,0
0,0,20.0,80,0.0,0
0,0,20.0,81,0.0,0
0,0,20.0,82,0.0,0
0,0,20.0,83,0.0,0
0,0,20.0,84,0.0,0
0,0,20.0,85,0.0,0
0,0,21.0,86,1.0,1
0,0,21.0,87,0.0,0
0,0,21.0,88,0.0,0
0,0,22.0,89,1.0,1
0,0,22.0,90,0.0,0
0,0,23.0,91,1.0,1
0,0,23.0,92,0.0,0
0,0,23.0,93,0.0,0
0,0,23.0,94,0.0,0
0,0,23.0,95,0.0,0
0,0,23.0,96,0.0,0
0,0,23.0,97,0.0,0
0,0,23.0,98,0.0,0
0,0,24.0,99,1.0,1
0,1,0.0,0,0.0,0
0,1,0.0,1,0.0,0
0,1,0.0,2,0.0,0
0,1,0.0,3,0.0,0
0,1,0.0,4,0.0,0
0,1,0.0,5,0.0,0
0,1,0.0,6,0.0,0
0,1,0.0,7,0.0,0
0,1,2.0,8,2.0,2
0,1,2.0,9,0.0,0
0,1,2.0,10,0.0,0
0,1,2.0,11,0.0,0
0,1,2.0,12,0.0,0
0,1,3.0,13,1.0,1
0,1,4.0,14,1.0,1
0,1,4.0,15,0.0,0
0,1,4.0,16,0.0,0
0,1,4.0,17,0.0,0
0,1,4.0,18,0.0,0
0,1,4.0,19,0.0,0
0,1,4.0,20,0.0,0
0,1,4.0,21,0.0,0
0,1,4.0,22,0.0,0
0,1,4.0,23,0.0,0
0,1,4.0,24,0.0,0
0,1,4.0,25,0.0,0
0,1,5.0,26,1.0,1
0,1,5.0,27,0.0,0
0,1,5.0,28,0.0,0
0,1,5.0,29,0.0,0
0,1,6.0,30,1.0,1
0,1,6.0,31,0.0,0
0,1,6.0,32,0.0,0
0,1,6.0,33,0.0,0
0,1,6.0,34,0.0,0
0,1,6.0,35,0.0,0
0,1,6.0,36,0.0,0
0,1,8.0,37,2.0,2
0,1,8.0,38,0.0,0
0,1,8.0,39,0.0,0
0,1,9.0,40,1.0,1
0,1,9.0,41,0.0,0
0,1,9.0,42,0.0,0
0,1,9.0,43,0.0,0
0,1,9.0,44,0.0,0
0,1,9.0,45,0.0,0
0,1,10.0,46,1.0,1
0,1,10.0,47,0.0,0
0,1,10.0,48,0.0,0
0,1,10.0,49,0.0,0
0,1,10.0,50,0.0,0
0,1,10.0,51,0.0,0
0,1,10.0,52,0.0,0
0,1,10.0,53,0.0,0
0,1,10.0,54,0.0,0
0,1,10.0,55,0.0,0
0,1,10.0,56,0.0,0
0,1,10.0,57,0.0,0
0,1,10.0,58,0.0,0
0,1,10.0,59,0.0,0
0,1,11.0,60,1.0,1
0,1,11.0,61,0.0,0
0,1,11.0,62,0.0,0
0,1,11.0,63,0.0,0
0,1,11.0,64,0.0,0
0,1,11.0,65,0.0,0
0,1,11.0,66,0.0,0
0,1,12.0,67,1.0,1
0,1,12.0,68,0.0,0
0,1,13.0,69,1.0,1
0,1,13.0,70,0.0,0
0,1,13.0,71,0.0,0
0,1,13.0,72,0.0,0
0,1,14.0,73,1.0,1
0,1,14.0,74,0.0,0
0,1,14.0,75,0.0,0
0,1,14.0,76,0.0,0
0,1,14.0,77,0.0,0
0,1,15.0,78,1.0,1
0,1,15.0,79,0.0,0
0,1,15.0,80,0.0,0
0,1,15.0,81,0.0,0
0,1,15.0,82,0.0,0
0,1,15.0,83,0.0,0
0,1,15.0,84,0.0,0
0,1,15.0,85,0.0,0
0,1,15.0,86,0.0,0
0,1,15.0,87,0.0,0
0,1,15.0,88,0.0,0
0,1,15.0,89,0.0,0
0,1,16.0,90,1.0,1
0,1,16.0,91,0.0,0
0,1,16.0,92,0.0,0
0,1,17.0,93,1.0,1
0,1,19.0,94,2.0,2
0,1,19.0,95,0.0,0
0,1,19.0,96,0.0,0
0,1,19.0,97,0.0,0
0,1,19.0,98,0.0,0
0,1,19.0,99,0.0,0
0,2,0.0,0,0.0,0
0,2,0.0,1,0.0,0
0,2,0.0,2,0.0,0
0,2,1.0,3,1.0,1
0,2,1.0,4,0.0,0
0,2,1.0,5,0.0,0
0,2,1.0,6,0.0,0
0,2,1.0,7,0.0,0
0,2,2.0,8,1.0,1
0,2,2.0,9,0.0,0
0,2,2.0,10,0.0,0
0,2,2.0,11,0.0,0
0,2,4.0,12,2.0,2
0,2,4.0,13,0.0,0
0,2,4.0,14,0.0,0
0,2,5.0,15,1.0,1
0,2,7.0,16,2.0,2
0,2,7.0,17,0.0,0
0,2,8.0,18,1.0,1
0,2,8.0,19,0.0,0
0,2,11.0,20,3.0,3
0,2,11.0,21,0.0,0
0,2,11.0,22,0.0,0
0,2,11.0,23,0.0,0
0,2,11.0,24,0.0,0
0,2,11.0,25,0.0,0
0,2,11.0,26,0.0,0
0,2,11.0,27,0.0,0
0,2,12.0,28,1.0,1
0,2,12.0,29,0.0,0
0,2,12.0,30,0.0,0
0,2,12.0,31,0.0,0
0,2,12.0,32,0.0,0
0,2,12.0,33,0.0,0
0,2,12.0,34,0.0,0
0,2,12.0,35,0.0,0
0,2,12.0,36,0.0,0
0,2,14.0,37,2.0,2
0,2,14.0,38,0.0,0
0,2,14.0,39,0.0,0
0,2,14.0,40,0.0,0
0,2,15.0,41,1.0,1
0,2,15.0,42,0.0,0
0,2,15.0,43,0.0,0
0,2,15.0,44,0.0,0
0,2,16.0,45,1.0,1
0,2,17.0,46,1.0,1
0,2,17.0,47,0.0,0
0,2,17.0,48,0.0,0
0,2,17.0,49,0.0,0
0,2,17.0,50,0.0,0
0,2,17.0,51,0.0,0
0,2,17.0,52,0.0,0
0,2,18.0,53,1.0,1
0,2,19.0,54,1.0,1
0,2,19.0,55,0.0,0
0,2,19.0,56,0.0,0
0,2,19.0,57,0.0,0
0,2,19.0,58,0.0,0
0,2,19.0,59,0.0,0
0,2,19.0,60,0.0,0
0,2,19.0,61,0.0,0
0,2,19.0,62,0.0,0
0,2,19.0,63,0.0,0
0,2,19.0,64,0.0,0
0,2,19.0,65,0.0,0
0,2,19.0,66,0.0,0
0,2,19.0,67,0.0,0
0,2,19.0,68,0.0,0
0,2,19.0,69,0.0,0
0,2,19.0,70,0.0,0
0,2,23.0,71,4.0,4
0,2,23.0,72,0.0,0
0,2,23.0,73,0.0,0
0,2,23.0,74,0.0,0
0,2,24.0,75,1.0,1
0,2,24.0,76,0.0,0
0,2,25.0,77,1.0,1
0,2,25.0,78,0.0,0
0,2,25.0,79,0.0,0
0,2,25.0,80,0.0,0
0,2,25.0,81,0.0,0
0,2,25.0,82,0.0,0
0,2,25.0,83,0.0,0
0,2,25.0,84,0.0,0
0,2,25.0,85,0.0,0
0,2,25.0,86,0.0,0
0,2,25.0,87,0.0,0
0,2,25.0,88,0.0,0
0,2,26.0,89,1.0,1
0,2,26.0,90,0.0,0
0,2,26.0,91,0.0,0
0,2,26.0,92,0.0,0
0,2,26.0,93,0.0,0
0,2,26.0,94,0.0,0
0,2,26.0,95,0.0,0
0,2,27.0,96,1.0,1
0,2,27.0,97,0.0,0
0,2,29.0,98,2.0,2
0,2,29.0,99,0.0,0
0,3,0.0,0,0.0,0
0,3,1.0,1,1.0,1
0,3,2.0,2,1.0,1
0,3,2.0,3,0.0,0
0,3,2.0,4,0.0,0
0,3,2.0,5,0.0,0
0,3,2.0,6,0.0,0
0,3,2.0,7,0.0,0
0,3,3.0,8,1.0,1
0,3,3.0,9,0.0,0
0,3,3.0,10,0.0,0
0,3,3.0,11,0.0,0
0,3,3.0,12,0.0,0
0,3,3.0,13,0.0,0
0,3,3.0,14,0.0,0
0,3,3.0,15,0.0,0
0,3,3.0,16,0.0,0
0,3,3.0,17,0.0,0
0,3,3.0,18,0.0,0
0,3,3.0,19,0.0,0
0,3,3.0,20,0.0,0
0,3,3.0,21,0.0,0
0,3,3.0,22,0.0,0
0,3,3.0,23,0.0,0
0,3,4.0,24,1.0,1
0,3,4.0,25,0.0,0
0,3,4.0,26,0.0,0
